Entry	Entry name	Length	EC number	Cross-reference (Pfam)	Taxonomic lineage (SUPERKINGDOM)
A4VTT5	PROA_STRSY	412	1.2.1.41	PF00171;	Bacteria
Q85C23	PSBA_ADICA	353	1.10.3.9	PF00124;	Eukaryota
Q3AM89	PSBA1_SYNSC	359	1.10.3.9	PF00124;	Bacteria
Q9MUJ3	PSAA_ADICA	750	1.97.1.12	PF00223;	Eukaryota
B1XIP3	PSBA3_SYNP2	360	1.10.3.9	PF00124;	Bacteria
P0C354	PSAA_ORYSI	750	1.97.1.12	PF00223;	Eukaryota
A0ZZ35	PSAA_GOSBA	750	1.97.1.12	PF00223;	Eukaryota
Q6EW48	PSAA_NYMAL	750	1.97.1.12	PF00223;	Eukaryota
Q2N9V1	PROA_ERYLH	421	1.2.1.41	PF00171;	Bacteria
B8F6K8	PROA_HAEPS	416	1.2.1.41	PF00171;	Bacteria
Q65KU7	PROA1_BACLD	415	1.2.1.41	PF00171;	Bacteria
Q28Q10	PROA_JANSC	422	1.2.1.41	PF00171;	Bacteria
Q0ABN0	PROA_ALKEH	420	1.2.1.41	PF00171;	Bacteria
B1ZFJ0	PROA_METPB	432	1.2.1.41	PF00171;	Bacteria
A8LK12	PROA_DINSH	421	1.2.1.41	PF00171;	Bacteria
A7MI49	PROA_CROS8	417	1.2.1.41	PF00171;	Bacteria
B3EPD4	PROA_CHLPB	417	1.2.1.41		Bacteria
Q46F78	PROA_METBF	447	1.2.1.41	PF00171;	Archaea
B8D0Y6	PROA_HALOH	418	1.2.1.41	PF00171;	Bacteria
B7I5F5	PROA_ACIB5	421	1.2.1.41	PF00171;	Bacteria
Q896G4	PROA_CLOTE	428	1.2.1.41	PF00171;	Bacteria
Q3IP72	PROA_NATPD	438	1.2.1.41	PF00171;	Archaea
Q0SJK7	PRMC_RHOJR	368	1.14.13.227	PF02332;	Bacteria
B8I6T0	PROA_RUMCH	432	1.2.1.41	PF00171;	Bacteria
A7HT65	PROA_PARL1	424	1.2.1.41	PF00171;	Bacteria
Q5F8D3	PROA_NEIG1	420	1.2.1.41	PF00171;	Bacteria
Q82IY3	PTLI_STRAW	449	1.14.15.32	PF00067;	Bacteria
A8EXD9	QUEF_RICCK	273	1.7.1.13	PF14489;PF14819;	Bacteria
Q7A6T4	QUEF_STAAN	166	1.7.1.13	PF14489;	Bacteria
B2TZD9	QUEF_SHIB3	282	1.7.1.13	PF14489;PF14819;	Bacteria
B8GTL3	QUEF_THISH	129	1.7.1.13	PF14489;	Bacteria
Q31XJ6	QUEF_SHIBS	282	1.7.1.13	PF14489;PF14819;	Bacteria
A7FFG0	QUEF_YERP3	281	1.7.1.13	PF14489;PF14819;	Bacteria
B1KDM8	PYRD_SHEWM	340	1.3.5.2	PF01180;	Bacteria
A4XWQ0	PYRD_PSEMY	340	1.3.5.2	PF01180;	Bacteria
B3DX48	PYRD_METI4	348	1.3.5.2	PF01180;	Bacteria
Q31RJ7	PYRD_SYNE7	378	1.3.5.2	PF01180;	Bacteria
A1TZG0	PYRD_MARHV	340	1.3.5.2	PF01180;	Bacteria
Q2FZK1	QOX3_STAA8	201	1.10.3.-	PF00510;	Bacteria
B7IUP4	PYRDB_BACC2	309	1.3.1.14	PF01180;	Bacteria
Q0HJL0	PYRD_SHESM	339	1.3.5.2	PF01180;	Bacteria
C1EPP8	PYRDB_BACC3	309	1.3.1.14	PF01180;	Bacteria
Q6D456	PYRD_PECAS	336	1.3.5.2	PF01180;	Bacteria
B6JNQ5	QUEF_HELP2	148	1.7.1.13	PF14489;	Bacteria
Q5HH24	QOX1_STAAC	662	1.10.3.-	PF00115;	Bacteria
Q49WI3	QOX1_STAS1	662	1.10.3.-	PF00115;	Bacteria
Q80ZF7	RDH10_RAT	341	1.1.1.300	PF00106;	Eukaryota
Q5XGF7	RDH10_XENTR	341	1.1.1.300	PF00106;	Eukaryota
Q65652	RDRP_BBSCV	1967	3.6.4.13; 2.1.1.-; 1.14.11.-; 3.4.22.-; 2.7.7.48	PF05379;PF00978;PF01443;PF01660;	Viruses
P37426	RIR1_SALTY	761	1.17.4.1	PF03477;PF02867;PF00317;	Bacteria
O36410	RIR2_ALHV1	305	1.17.4.1	PF00268;	Viruses
P25539	RIBD_ECOLI	367	3.5.4.26; 1.1.1.193	PF00383;PF01872;	Bacteria
Q8SR37	RIR1_ENCCU	768	1.17.4.1	PF02867;PF00317;	Eukaryota
A1UKW4	RIR2H_MYCSK	312	1.-.-.-	PF00268;	Bacteria
A0R909	ROCA_BACAH	515	1.2.1.88	PF00171;	Bacteria
A7GKJ4	ROCA_BACCN	515	1.2.1.88	PF00171;	Bacteria
A4UHT7	SALR_PAPBR	311	1.1.1.248	PF00106;	Eukaryota
Q9UL12	SARDH_HUMAN	918	1.5.8.3	PF01266;PF16350;PF01571;PF08669;	Eukaryota
Q2KJ32	SBP1_BOVIN	472	1.8.3.4	PF05694;	Eukaryota
P75894	RUTE_ECOLI	196	1.1.1.298	PF00881;	Bacteria
B5YU49	RUTF_ECO5E	164	1.5.1.42	PF01613;	Bacteria
C4ZQD6	RUTE_ECOBW	196	1.1.1.298	PF00881;	Bacteria
B1LIZ7	RUTE_ECOSM	196	1.1.1.298	PF00881;	Bacteria
B7KWT3	RUTF1_METC4	201	1.5.1.42	PF01613;	Bacteria
P75893	RUTF_ECOLI	164	1.5.1.42	PF01613;	Bacteria
Q8R127	SCPDL_MOUSE	429	1.-.-.-	PF03435;	Eukaryota
A4W923	RUTC_ENT38	128	1.-.-.-	PF01042;	Bacteria
Q0QF17	SDHA_MESAU	551	1.3.5.1	PF00890;PF02910;	Eukaryota
Q9S827	SDHB1_ORYSJ	281	1.3.5.1	PF13085;	Eukaryota
Q6PBD1	SELT_XENTR	201	1.8.1.9	PF10262;	Eukaryota
Q9FR82	SLD1_BOROF	446	1.14.19.29	PF00173;PF00487;	Eukaryota
Q8NKG8	SLD1_KLULC	573	1.14.19.18	PF00173;PF00487;	Eukaryota
D4AU57	SIDA_ARTBC	501	1.14.13.196	PF13434;	Eukaryota
B7TWW5	SQE2_PANGI	545	1.14.14.17	PF08491;	Eukaryota
P50912	SODM_MYCKA	163	1.15.1.1	PF02777;PF00081;	Bacteria
Q59094	SODM_ACIAD	228	1.15.1.1	PF02777;PF00081;	Bacteria
O08460	SODM2_HALME	146	1.15.1.1	PF02777;PF00081;	Archaea
Q5XBF8	SODM_STRP6	201	1.15.1.1	PF02777;PF00081;	Bacteria
Q07182	SODC_CHYAM	153	1.15.1.1	PF00080;	Eukaryota
Q8YSZ1	SODF_NOSS1	200	1.15.1.1	PF02777;PF00081;	Bacteria
Q8HXQ3	SODC_HYLLA	154	1.15.1.1	PF00080;	Eukaryota
P0A2F4	SODF_SALTY	193	1.15.1.1	PF02777;PF00081;	Bacteria
P57005	SODC_NEIMA	186	1.15.1.1	PF00080;	Bacteria
Q8L5E0	SODC2_OLEEU	152	1.15.1.1	PF00080;	Eukaryota
P0AGD4	SODF_ECOL6	193	1.15.1.1	PF02777;PF00081;	Bacteria
P53638	SODF_BACFR	193	1.15.1.1	PF02777;PF00081;	Bacteria
O30970	SODF_RHOCA	200	1.15.1.1	PF02777;PF00081;	Bacteria
Q42611	SODC1_BRAJU	152	1.15.1.1	PF00080;	Eukaryota
B5XZ14	STHA_KLEP3	466	1.6.1.1	PF07992;PF02852;	Bacteria
Q42612	SODC2_BRAJU	152	1.15.1.1	PF00080;	Eukaryota
A9N0H2	STHA_SALPB	466	1.6.1.1	PF07992;PF02852;	Bacteria
Q8ZA97	STHA_YERPE	466	1.6.1.1	PF07992;PF02852;	Bacteria
C4ZQ61	SSUD_ECOBW	381	1.14.14.5	PF00296;	Bacteria
Q0T6A4	SSUD_SHIF8	381	1.14.14.5	PF00296;	Bacteria
O22832	STAD7_ARATH	401	1.14.19.2	PF03405;	Eukaryota
Q00791	STCU_EMENI	264	1.1.-.-		Eukaryota
E3PZS1	STAD1_OPHSP	378	1.14.19.11; 1.14.19.2	PF03405;	Eukaryota
B7M718	STHA_ECO8A	466	1.6.1.1	PF07992;PF02852;	Bacteria
P0DKI7	STORR_PAPSO	901	1.14.19.54; 1.5.1.27	PF00248;PF00067;	Eukaryota
A6R2K7	NCB5R_AJECN	310	1.6.2.2	PF00970;PF00175;	Eukaryota
Q95748	NDUS3_ARATH	190	1.6.99.3; 7.1.1.2	PF00329;	Eukaryota
A5ED21	NAPA_BRASB	834	1.9.6.1	PF04879;PF00384;PF01568;	Bacteria
B5RC85	NAPA_SALG2	828	1.9.6.1	PF04879;PF00384;PF01568;	Bacteria
Q9ULD0	OGDHL_HUMAN	1010	1.2.4.-	PF16078;PF00676;PF16870;PF02779;	Eukaryota
Q8N543	OGFD1_HUMAN	542	1.14.11.-	PF13661;PF10637;	Eukaryota
P12694	ODBA_HUMAN	445	1.2.4.4	PF00676;	Eukaryota
Q89AJ7	ODO1_BUCBP	916	1.2.4.2	PF16078;PF00676;PF16870;PF02779;	Bacteria
Q7XR83	ODD21_ORYSJ	333	1.14.11.-	PF03171;PF14226;	Eukaryota
Q5SLR4	ODBA_THET8	367	1.2.4.4	PF00676;	Bacteria
Q8CG71	P3H2_MOUSE	703	1.14.11.7	PF13640;	Eukaryota
O09345	P3H2_STRSQ	290	1.14.11.28	PF05118;PF05373;	Bacteria
Q8L3B0	PADH_AROEV	421	1.2.1.58	PF07992;	Bacteria
P0AFG8	ODP1_ECOLI	887	1.2.4.1	PF17831;PF00456;	Bacteria
Q6P3A8	ODBB_MOUSE	390	1.2.4.4	PF02779;PF02780;	Eukaryota
Q8FYF7	ODO1_BRUSU	1004	1.2.4.2	PF16078;PF00676;PF16870;PF02779;	Bacteria
P45851	OXO2_HORVU	224	1.2.3.4	PF00190;	Eukaryota
A0R0B0	ODP1_MYCS2	929	1.2.4.1	PF17831;PF00456;	Bacteria
L8EUQ6	OXYS_STRR1	503	1.14.13.234; 1.14.13.38	PF01494;	Bacteria
Q46IM1	PEBB_PROMT	258	1.3.7.3	PF05996;	Bacteria
A8QL51	OXLA_BUNMU	517	1.4.3.2	PF01593;	Eukaryota
P72299	OOXB_RHIML	371	1.-.-.-	PF01266;	Bacteria
A1CFL2	PATE_ASPCL	628	1.1.-.-	PF05199;PF00732;	Eukaryota
Q70LM3	PEM2_PHLRA	390	1.11.1.13	PF00141;PF11895;	Eukaryota
A2BW83	PCYA_PROM5	241	1.3.7.5	PF05996;	Bacteria
Q1ATH8	PDXH_RUBXD	217	1.4.3.5	PF10590;PF01243;	Bacteria
P0DPA0	PAHX_DICDI	349	1.14.11.18	PF05721;	Eukaryota
Q8FL95	PDXA_ECOL6	329	1.1.1.262	PF04166;	Bacteria
Q47824	PDXA_ENTAG	105	1.1.1.262	PF04166;	Bacteria
Q1G3U6	PCO3_ARATH	282	1.13.11.20	PF07847;	Eukaryota
B5QV11	PDXH_SALEP	218	1.4.3.5	PF10590;PF01243;	Bacteria
B3Q9S3	PDXA_RHOPT	337	1.1.1.262	PF04166;	Bacteria
Q8ZE19	PDXH_YERPE	217	1.4.3.5	PF10590;PF01243;	Bacteria
Q88NS5	PDXH_PSEPK	215	1.4.3.5	PF10590;PF01243;	Bacteria
Q9JX42	PDXA_NEIMA	329	1.1.1.262	PF04166;	Bacteria
P58716	PDXA2_SALTI	327	1.1.1.408	PF04166;	Bacteria
A3N3U7	PDXH_ACTP2	209	1.4.3.5	PF10590;PF01243;	Bacteria
B4SZP2	PDXB_SALNS	378	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
Q3MFQ5	PDXH_TRIV2	214	1.4.3.5	PF10590;PF01243;	Bacteria
A1KLV7	PDXH_MYCBP	224	1.4.3.5	PF10590;PF01243;	Bacteria
B8EEB4	PDXB_SHEB2	376	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
A4G883	PDXH_HERAR	211	1.4.3.5	PF10590;PF01243;	Bacteria
Q89NF3	PDXA2_BRADU	345	1.1.1.408	PF04166;	Bacteria
Q5ZY37	PDXH_LEGPH	215	1.4.3.5	PF10590;PF01243;	Bacteria
L0E2U6	PHQG_PENFE	338	1.-.-.-	PF05368;	Eukaryota
Q96519	PER11_ARATH	336	1.11.1.7	PF00141;	Eukaryota
P14650	PERT_RAT	914	1.11.1.8	PF03098;PF07645;PF00084;	Eukaryota
P19135	PER2_CUCSA	292	1.11.1.7	PF00141;	Eukaryota
P86064	PER8_DAUCA	9	1.11.1.7		Eukaryota
A8NK72	PER_COPC7	363	1.11.1.7	PF00141;PF11895;	Eukaryota
P45496	POLOX_STRGR	246	1.10.3.-	PF02578;	Bacteria
Q9BGI3	PRDX2_BOVIN	199	1.11.1.15	PF10417;PF00578;	Eukaryota
P44552	POLOX_HAEIN	244	1.10.3.-	PF02578;	Bacteria
P32119	PRDX2_HUMAN	198	1.11.1.15	PF10417;PF00578;	Eukaryota
O77834	PRDX6_BOVIN	224	1.11.1.15; 3.1.1.4	PF10417;PF00578;	Eukaryota
C1I201	PNPA_PSEWB	403	1.14.13.167	PF01494;	Bacteria
Q9AJD6	PNO_MICLT	507	1.1.3.12	PF05199;PF00732;	Bacteria
B2SSW1	PQQC_XANOP	250	1.3.3.11	PF03070;	Bacteria
O80333	POR_MARPA	458	1.3.1.33	PF00106;	Eukaryota
Q89FG1	PQQE_BRADU	380	1.21.98.4	PF04055;PF13186;	Bacteria
Q2N6B2	PDXH_ERYLH	212	1.4.3.5	PF10590;PF01243;	Bacteria
Q8I1F6	PPO3_DROER	683	1.14.18.1	PF03723;PF00372;PF03722;	Eukaryota
Q85WU9	PSAC_PINKO	81	1.97.1.12		Eukaryota
P56767	PSAB_ARATH	734	1.97.1.12	PF00223;	Eukaryota
P35860	PSBA_CHLEL	352	1.10.3.9	PF00124;	Eukaryota
P06402	PSBA_MARPO	353	1.10.3.9	PF00124;	Eukaryota
A6MM88	PSAC_BUXMI	81	1.97.1.12		Eukaryota
Q30SG0	PROA_SULDN	410	1.2.1.41	PF00171;	Bacteria
B4TZ91	PROA_SALSV	416	1.2.1.41	PF00171;	Bacteria
Q0G9G8	PSAC_LIRTU	81	1.97.1.12		Eukaryota
A0T0T0	PSBD_THAPS	351	1.10.3.9	PF00124;	Eukaryota
Q8WI19	PSBD_PSINU	353	1.10.3.9	PF00124;	Eukaryota
A6MMZ6	PSAC_ILLOL	81	1.97.1.12		Eukaryota
Q9WYC9	PROA_THEMA	415	1.2.1.41	PF00171;	Bacteria
B1IBA0	PROA_STRPI	420	1.2.1.41	PF00171;	Bacteria
A9GVS8	PROA_SORC5	426	1.2.1.41	PF00171;	Bacteria
Q49KU7	PSAC_EUCGG	81	1.97.1.12		Eukaryota
Q6H956	PSBD_BPSYR	351	1.10.3.9	PF00124;	Viruses
Q9LHB9	PER32_ARATH	352	1.11.1.7	PF00141;	Eukaryota
Q9L3Q5	PRXU_PEPAC	203	1.11.1.15	PF10417;PF00578;	Bacteria
P48079	PSBD_CYAPA	352	1.10.3.9	PF00124;	Eukaryota
Q9MUW2	PSBD_MESVI	354	1.10.3.9	PF00124;	Eukaryota
A7Y3C4	PSBD_IPOPU	353	1.10.3.9	PF00124;	Eukaryota
Q8LLW7	PRXV_COROI	598	1.11.1.18	PF01569;	Eukaryota
Q0G9W7	PSBD_DAUCA	353	1.10.3.9	PF00124;	Eukaryota
Q5QY68	PROA_IDILO	417	1.2.1.41	PF00171;	Bacteria
C3NZU4	PROA_BACAA	414	1.2.1.41	PF00171;	Bacteria
A4GG97	PSAA_PHAVU	750	1.97.1.12	PF00223;	Eukaryota
Q2SA27	PROA_HAHCH	418	1.2.1.41	PF00171;	Bacteria
Q02SH4	PROA_PSEAB	421	1.2.1.41	PF00171;	Bacteria
Q6LTX2	PROA_PHOPR	418	1.2.1.41	PF00171;	Bacteria
A1KTV4	PROA_NEIMF	420	1.2.1.41	PF00171;	Bacteria
Q8G5H9	PROA_BIFLO	431	1.2.1.41	PF00171;	Bacteria
A0A140JWT4	PTMP_PENSI	446	1.-.-.-	PF00067;	Eukaryota
A8F0H9	QUEF_RICM5	273	1.7.1.13	PF14489;PF14819;	Bacteria
B7VIV4	QUEF_VIBTL	281	1.7.1.13	PF14489;PF14819;	Bacteria
Q2NYB8	QUEF_XANOM	271	1.7.1.13	PF14489;PF14819;	Bacteria
B0KAC5	QUEF_THEP3	133	1.7.1.13	PF14489;	Bacteria
Q5MZT0	QUEF_SYNP6	174	1.7.1.13	PF14489;	Bacteria
Q8R9P3	QUEF_CALS4	134	1.7.1.13	PF14489;	Bacteria
A1AWC8	QUEF_RUTMC	128	1.7.1.13	PF14489;	Bacteria
A2RJT9	PYRDA_LACLM	311	1.3.98.1	PF01180;	Bacteria
Q5ZUH7	PYRD_LEGPH	333	1.3.5.2	PF01180;	Bacteria
A6V325	PYRD_PSEA7	342	1.3.5.2	PF01180;	Bacteria
A0M4D0	PYRD_GRAFK	340	1.3.5.2	PF01180;	Bacteria
B7JFS7	QUEF_BACC0	165	1.7.1.13	PF14489;	Bacteria
Q83F02	QUEF_COXBU	278	1.7.1.13	PF14489;PF14819;	Bacteria
Q8RG85	PYRDB_FUSNN	304	1.3.1.14	PF01180;	Bacteria
A9M3G1	PYRD_NEIM0	341	1.3.5.2	PF01180;	Bacteria
Q6GAF2	QOX2_STAAS	366	1.10.3.-	PF00116;PF02790;	Bacteria
A1SJF2	PYRD_NOCSJ	355	1.3.5.2	PF01180;	Bacteria
P0A182	QADG_PSEPU	79	1.4.99.-	PF08992;	Bacteria
Q72RB6	QUEF_LEPIC	133	1.7.1.13	PF14489;	Bacteria
A8FD19	PYRDB_BACP2	310	1.3.1.14	PF01180;	Bacteria
Q3IZ94	PYRD_RHOS4	354	1.3.5.2	PF01180;	Bacteria
A8A3S9	QUEF_ECOHS	282	1.7.1.13	PF14489;PF14819;	Bacteria
B6J0A5	PYRD_COXB2	347	1.3.5.2	PF01180;	Bacteria
A1ASB3	PYRDB_PELPD	304	1.3.1.14	PF01180;	Bacteria
Q7U3U2	PYRD_SYNPX	396	1.3.5.2	PF01180;	Bacteria
A3QDX8	PYRD_SHELP	341	1.3.5.2	PF01180;	Bacteria
A6V3T3	QUEF_PSEA7	276	1.7.1.13	PF14489;PF14819;	Bacteria
Q2FZJ9	QOX2_STAA8	366	1.10.3.-	PF00116;PF02790;	Bacteria
Q9Z4J7	QEDH_PSEAE	623	1.1.2.8	PF01011;PF13360;	Bacteria
B3FWT9	RDC4_METCM	492	1.-.-.-	PF00067;	Eukaryota
Q9SW17	RBOHG_ARATH	849	1.11.1.-; 1.6.3.-	PF08022;PF01794;PF08030;PF08414;	Eukaryota
P09853	RIR1_HHV23	1144	1.17.4.1	PF02867;PF00317;	Viruses
Q05342	RFBJ_YERPU	283	1.1.1.341	PF01370;	Bacteria
Q8K9W3	RIR1_BUCAP	763	1.17.4.1	PF03477;PF02867;PF00317;	Bacteria
Q89AS4	RIR1_BUCBP	761	1.17.4.1	PF03477;PF02867;PF00317;	Bacteria
Q89AB0	RIBD_BUCBP	372	3.5.4.26; 1.1.1.193	PF00383;PF01872;	Bacteria
P50647	RIR1_PLAFG	804	1.17.4.1	PF03477;PF02867;PF00317;	Eukaryota
P36603	RIR2_SCHPO	391	1.17.4.1	PF00268;	Eukaryota
P9WH68	RIR2H_MYCTO	314	1.-.-.-	PF00268;	Bacteria
P9WH70	RIR2B_MYCTO	324	1.17.4.1	PF00268;	Bacteria
Q60561	RIR2_MESAU	386	1.17.4.1	PF00268;	Eukaryota
C5D4J5	ROCA_GEOSW	515	1.2.1.88	PF00171;	Bacteria
Q48MT7	RNLS_PSE14	328	1.6.3.5	PF01593;	Bacteria
Q2BN77	SAFD_NEPCE	456	1.2.1.73	PF00171;	Bacteria
C8UMM3	RUTF_ECO1A	164	1.5.1.42	PF01613;	Bacteria
Q68FF9	S5A1_MOUSE	255	1.3.1.22	PF02544;	Eukaryota
B7LFC2	RUTA_ECO55	382	1.14.99.46	PF00296;	Bacteria
D5CZH0	RUTC_ECOKI	128	1.-.-.-	PF01042;	Bacteria
B7KWT7	RUTA_METC4	376	1.14.99.46	PF00296;	Bacteria
B1IV87	RUTC_ECOLC	128	1.-.-.-	PF01042;	Bacteria
B8H1Q2	RUTC_CAUVN	129	1.-.-.-	PF01042;	Bacteria
D3QPK5	RUTA_ECOCB	382	1.14.99.46	PF00296;	Bacteria
A9W3I1	RUTA_METEP	372	1.14.99.46	PF00296;	Bacteria
D2NGI9	RUTA_ECOS5	382	1.14.99.46	PF00296;	Bacteria
Q92JJ8	SDHB_RICCN	261	1.3.5.1	PF13085;	Bacteria
Q6Q881	SIRC_LEPMC	470	1.-.-.-	PF00067;	Eukaryota
Q9Y6P5	SESN1_HUMAN	492	1.11.1.15	PF04636;	Eukaryota
P9WNX2	SERA_MYCTO	528	1.1.1.95; 1.1.1.399	PF00389;PF02826;PF01842;	Bacteria
M2PP75	SIDA_CERS8	541	1.14.13.196	PF13434;	Eukaryota
I1RN13	SIDA_GIBZE	536	1.14.13.196	PF13434;	Eukaryota
B9F3B6	SSDH_ORYSJ	527	1.2.1.24	PF00171;	Eukaryota
Q8GAI8	SSDH_PAENI	450	1.2.1.16	PF00171;	Bacteria
P53647	SODM_MYCPA	207	1.15.1.1	PF02777;PF00081;	Bacteria
P41982	SODM_RABIT	202	1.15.1.1	PF02777;PF00081;	Eukaryota
P43019	SODM_SALTY	206	1.15.1.1	PF02777;PF00081;	Bacteria
P00443	SODC_HORSE	154	1.15.1.1	PF00080;	Eukaryota
Q9FMX0	SODF3_ARATH	263	1.15.1.1	PF02777;PF00081;	Eukaryota
Q5FB29	SODC_CAPHI	152	1.15.1.1	PF00080;	Eukaryota
P41975	SODE_RABIT	244	1.15.1.1	PF00080;	Eukaryota
Q02610	SODC_PEA	152	1.15.1.1	PF00080;	Eukaryota
Q9XD74	SODF_RHIME	200	1.15.1.1	PF02777;PF00081;	Bacteria
O51917	SODF_STRCO	213	1.15.1.1	PF02777;PF00081;	Bacteria
Q5VRL3	SODF1_ORYSJ	391	1.15.1.1	PF02777;PF00081;	Eukaryota
P51547	SODE_HAECO	183	1.15.1.1	PF00080;	Eukaryota
Q5VSB7	SODF2_ORYSJ	255	1.15.1.1	PF02777;PF00081;	Eukaryota
B6I5I0	STHA_ECOSE	466	1.6.1.1	PF07992;PF02852;	Bacteria
C0Q478	STHA_SALPC	466	1.6.1.1	PF07992;PF02852;	Bacteria
A9R6N5	STHA_YERPG	466	1.6.1.1	PF07992;PF02852;	Bacteria
A4VMU6	STHA_PSEU5	464	1.6.1.1	PF07992;PF02852;	Bacteria
Q8UAE8	SSUD_AGRFC	389	1.14.14.5	PF00296;	Bacteria
B7UN21	SSUD_ECO27	381	1.14.14.5	PF00296;	Bacteria
A7FDL9	SSUD_YERP3	382	1.14.14.5	PF00296;	Bacteria
F2Z699	NDH2_YARLI	582	1.6.5.9	PF07992;	Eukaryota
Q8X1D8	NAO_FUSOX	439	1.7.3.1	PF00441;PF02771;	Eukaryota
Q5M843	OGFD3_RAT	315	1.14.11.-	PF13640;	Eukaryota
P49823	ODPA_CANLF	13	1.2.4.1		Eukaryota
Q6ABX8	ODPB_LEIXX	337	1.2.4.1	PF02779;PF02780;	Bacteria
O64688	ODPB3_ARATH	406	1.2.4.1	PF02779;PF02780;	Eukaryota
P54001	P4HA1_RAT	534	1.14.11.2	PF13640;PF08336;	Eukaryota
P51056	ODO1_COXBU	934	1.2.4.2	PF16078;PF00676;PF16870;PF02779;	Bacteria
Q9R1J8	P3H1_RAT	728	1.14.11.7	PF13640;	Eukaryota
Q6JHU7	P3H2_CHICK	694	1.14.11.7	PF13640;	Eukaryota
A5ISU5	ODO1_STAA9	932	1.2.4.2	PF00676;PF16870;PF02779;	Bacteria
Q6W3F0	P4HA3_MOUSE	542	1.14.11.2	PF13640;PF08336;	Eukaryota
P0AFG4	ODO1_ECOL6	933	1.2.4.2	PF16078;PF00676;PF16870;PF02779;	Bacteria
Q86KR9	P4HA_DICDI	284	1.14.11.-	PF13640;	Eukaryota
A6QGW6	ODO1_STAAE	932	1.2.4.2	PF00676;PF16870;PF02779;	Bacteria
F8S0Z5	OXLA2_CROAD	516	1.4.3.2	PF01593;	Eukaryota
Q03558	OYE2_YEAST	400	1.6.99.1	PF00724;	Eukaryota
A8WXM1	OXDD2_CAEBR	331	1.4.3.1	PF01266;	Eukaryota
A3PF82	PEBB_PROM0	253	1.3.7.3	PF05996;	Bacteria
E3PY99	ORD_ACESD	353	1.4.1.12		Bacteria
A2C538	PEBB_PROM1	258	1.3.7.3	PF05996;	Bacteria
Q9JIF5	PECR_CAVPO	302	1.3.1.38		Eukaryota
Q9BY49	PECR_HUMAN	303	1.3.1.38		Eukaryota
Q5R4M8	P5CS_PONAB	795	2.7.2.11; 1.2.1.41	PF00696;PF00171;	Eukaryota
A0A0E3D8M6	PC20_PENCR	453	1.-.-.-	PF00067;	Eukaryota
O34661	PANE_BACSU	298	1.1.1.169	PF02558;PF08546;	Bacteria
F4KIN4	PANE_ARATH	365	1.1.1.169	PF00676;	Eukaryota
P78733	PEM3_PHACH	380	1.11.1.13	PF00141;PF11895;	Eukaryota
Q0J290	PAO7_ORYSJ	474	1.5.3.-	PF01593;	Eukaryota
A2CA92	PCYA_PROM3	264	1.3.7.5	PF05996;	Bacteria
A7ZW04	PDXA_ECOHS	329	1.1.1.262	PF04166;	Bacteria
A5VZL6	PDXH_PSEP1	215	1.4.3.5	PF10590;PF01243;	Bacteria
B3QIK5	PDXH_RHOPT	212	1.4.3.5	PF10590;PF01243;	Bacteria
Q56733	PDXB_SHEVD	387	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
Q0VQC3	PDXB_ALCBS	371	1.1.1.290	PF00389;PF02826;	Bacteria
A1AWW7	PDXB_RUTMC	345	1.1.1.290	PF00389;PF02826;	Bacteria
B7LLF0	PDXB_ESCF3	378	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
A1AW86	PDXH_RUTMC	212	1.4.3.5	PF10590;PF01243;	Bacteria
A5CX08	PDXH_VESOH	212	1.4.3.5	PF10590;PF01243;	Bacteria
Q1GI38	PDXA_RUEST	326	1.1.1.262	PF04166;	Bacteria
Q3K9D1	PDXB_PSEPF	380	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
Q7MV70	PDXB_PORGI	369	1.1.1.290	PF00389;PF02826;	Bacteria
Q3YSS1	PDXH_EHRCJ	197	1.4.3.5	PF10590;PF01243;	Bacteria
A1URW0	PDXH_BARBK	215	1.4.3.5	PF10590;PF01243;	Bacteria
Q15QG8	PDXB_PSEA6	374	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
A8GH44	PDXB_SERP5	373	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
Q5QTW7	PDXH_IDILO	212	1.4.3.5	PF10590;PF01243;	Bacteria
Q02809	PLOD1_HUMAN	727	1.14.11.4	PF03171;	Eukaryota
Q54XS1	PH4H_DICDI	441	1.14.16.1; 1.14.16.4	PF00351;	Eukaryota
P43751	PFLA_HAEIN	246	1.97.1.4	PF04055;	Bacteria
P0A9N6	PFLA_ECO57	246	1.97.1.4	PF04055;	Bacteria
A1KMU5	PHKR_MYCBP	381	1.2.-.-	PF00296;	Bacteria
P22079	PERL_HUMAN	712	1.11.1.7	PF03098;	Eukaryota
Q96520	PER12_ARATH	358	1.11.1.7	PF00141;	Eukaryota
Q9LVL2	PER67_ARATH	316	1.11.1.7	PF00141;	Eukaryota
Q9PN78	POLOX_CAMJE	226	1.10.3.-	PF02578;	Bacteria
Q4L5N8	POLOX_STAHJ	263	1.10.3.-	PF02578;	Bacteria
B0V496	PQQC_ACIBY	252	1.3.3.11	PF03070;	Bacteria
Q57714	PORB_METJA	298	1.2.7.1	PF02775;	Archaea
