P0CW05	AAM30191.1
P96693	BAA19383.1
P96693	CAB12356.1
Q9I2Q2	AAG05232.1
B6EMV8	CAQ78237.1
Q7U383	CAE34422.1
Q8A018	AAO79308.1
Q1C0Z9	ABG15873.1
Q8D318	BAC24329.1
B6EMQ8	CAQ80462.1
Q47HM0	AAZ45661.1
B0C0E2	ABW29634.1
C6BZQ4	ACS78961.1
Q9RWM6	AAF10215.1
B8GZZ0	ACL94024.1
Q9KRD8	AAF94854.1
A9NC58	ABX78102.1
A6TR77	ABR48695.1
B3DQX6	ACD97722.1
A9KFK7	ABS78087.2
P13009	CAA34601.1
P13009	AAA02995.1
P13009	AAC43113.1
P13009	AAC76989.1
P13009	BAE78021.1
Q9KAC3	BAB06085.1
Q6G0N1	CAF25717.1
A6LPD6	ABR32216.1
A7ZK67	ABV18220.1
B7HHT7	ACK58723.1
Q83DX3	AAO90113.1
A4IQ66	ABO67470.1
Q81WR0	AAP27641.1
Q81WR0	AAT33023.1
Q81WR0	AAT55925.1
Q7WFU9	CAE34535.1
B7N8Q5	CAR11606.1
C3L886	ACP17461.1
Q1QV24	ABE59684.1
P59507	AAO27217.1
B7GIA2	ACJ33884.1
C6C1U5	ACS79341.1
Q3Z586	AAZ87076.1
A3N5Z1	ABN82489.1
Q2K284	ABC93201.1
Q8DRF9	AAK98953.1
Q5H503	AAW73967.1
C0RE30	ACO01152.1
Q72SM5	AAS69955.1
B7M5I8	CAQ97515.1
A6KXF7	ABR38121.1
A6TAC8	ABR77549.1
Q6KNA9	AAP27939.1
Q6KNA9	AAT33335.1
Q6KNA9	AAT56213.1
Q8CWW0	AAK98926.1
Q0SM30	ABH02098.1
Q0SM30	AEL70038.1
Q87AL9	AAO29638.1
P56460	AAD07267.1
A8FRL1	ABV35484.1
Q2KVJ9	CAJ50466.1
B1LIN5	ACB19909.1
A5D2K1	BAF59519.1
Q635S6	AAU16507.1
Q5GTC8	AAW70746.1
Q04UA3	ABJ75517.1
Q731W2	AAS42955.1
B2SG13	ACD30672.1
Q4ZN97	AAY39375.1
Q9HM12	CAC11207.1
Q1D5V7	ABF89047.1
Q5PCW7	AAV76487.1
Q0TQU8	ABG82326.1
A6QBY6	BAF72995.1
B1GZY9	BAG13821.1
C3P710	ACQ46752.1
B1ZJR5	ACB81550.1
Q82WL2	CAD84570.1
Q5ZVV6	AAU27416.1
A8FFP0	ABV63057.1
P66767	BAB42876.1
P0C2T9	AAF14695.1
B2TBS1	ACD19723.1
A6TDV1	ABR78772.1
B7HMX7	ACJ77559.1
C1KVY0	CAS05455.1
B8G5F1	ACL25657.1
Q9CCQ4	CAC30052.1
Q71ZF8	AAT04306.1
B4SK03	ACF50335.1
Q1QS74	ABE60923.1
B1X0D2	ACB51221.1
Q6DAS2	CAG73100.1
Q28VZ6	ABD53116.1
A0QC69	ABK66085.1
A6H0G9	CAL43842.1
B0VBY5	CAM85974.1
P9WJW0	AAK47116.1
B2TIB7	ACD24643.1
B0BWZ7	ABY72373.1
Q3J2X6	ABA78858.2
Q033L0	ABJ71612.1
B0U4E7	ACA12726.1
Q0K776	CAJ94145.1
B3PYW4	ACE92628.1
A6H0V8	CAL43982.1
A4SZQ9	ABP34973.1
Q4QLQ9	AAX88038.1
Q3KIZ0	ABA72266.1
Q57T09	AAX64152.1
B0BAM1	CAP06533.1
Q931Q6	BAB57783.1
Q2J6U1	ABD13001.1
Q746Q3	AAR36855.1
A4FMT5	CAM05360.1
A0KSR6	ABK46835.1
C4ZR48	ACR62742.1
A4J081	ABO47583.1
Q57LX5	AAX66287.1
B1YMH0	ACB60557.1
P63388	AAG58329.1
P63388	BAB37497.1
B5Y333	ACI08698.1
B3GYW8	ACE62454.1
Q5PMJ4	AAV77543.1
A5UHR5	ABR00321.1
Q7VE01	AAP99260.1
B0JN42	BAG00206.1
B9DNH6	CAL28140.1
A9W640	ABY31046.1
B1JGH2	ACA67812.1
Q7WDI4	CAE35369.1
A4QHY3	BAF55849.1
Q1BAA7	ABG08177.1
Q88PU7	AAN66376.1
Q7UJK0	CAD77258.1
Q3K594	ABA77060.1
A0KBH0	ABK09847.1
A7ZJJ0	ABV17154.1
A8A273	ABV06627.1
C6DAM1	ACT13855.1
Q0BAW3	ABI88710.1
Q5HVD4	AAW34533.1
B7MGN9	CAR02137.1
P9WPJ6	AAK45583.1
A6VJM2	ABR66648.1
Q746G0	AAS82425.1
Q8NSN2	BAB98029.1
Q8NSN2	CAF19343.1
Q59606	AAA86270.1
Q5WVN2	CAH16022.1
Q9KQW9	AAF95026.1
Q5E2P7	AAW86699.1
C1EPS7	ACO28829.1
A0RJV9	ABK87502.1
Q03W54	ABJ62568.1
Q9RUK6	AAF10947.1
A1V0S1	ABM51274.1
B1HZH4	ACA40271.1
A1VYF0	EAQ73459.1
Q5XDH1	AAT86542.1
B8DDP2	ACK39051.1
Q0A6J9	ABI57538.1
Q1JD56	ABF35452.1
Q8Y640	CAC99938.1
Q21LK2	ABD80427.1
A5WKI8	ABR05177.1
P65450	CAD02063.1
P65450	AAO68827.1
A3NDW7	ABN81551.1
A9MFH4	ABX21579.1
Q5WH73	BAD64282.1
P0A4R0	AAL53547.1
Q9V2A7	CAB49091.1
Q9V2A7	CCE69543.1
Q99UB9	BAB57522.1
A7ZHH8	ABV19795.1
A0A0H2XEK8	ABD20720.1
A0KIL8	ABK38084.1
Q2K9I8	ABC90498.1
A3Q5L8	ABO00446.1
Q3IR95	CAI49348.1
O31702	AAC24901.1
O31702	CAB13300.1
Q6G5W4	CAG44413.1
Q13CI6	ABE38203.1
A6U9C6	ABR60256.1
P37820	AAY79615.1
P37820	CAA44994.1
P66973	BAB96495.1
Q1CCJ3	ABG20287.1
Q1CCJ3	EEO74883.1
P73839	BAA17896.1
P73839	CAA66716.1
B1VFT1	CAQ04620.1
A8L1A5	ABW10321.1
P65407	BAB58435.1
Q8FU35	BAC16996.1
A4X9R8	ABP55649.1
B9LKK2	ACM52258.1
Q7VVF8	CAE42988.1
B9KEM3	ACM63508.1
A5WLJ9	ABR05538.1
Q5YQD2	BAD59609.1
C8XA09	ACV81209.1
B2UT33	ACD48015.1
C7QKH8	ACU77077.1
B7LC65	CAU96692.1
A4VX68	ABP90707.1
B8FMV2	ACL05822.1
P57971	AAK03883.1
B4TC57	ACF69719.1
A1UHV1	ABL92409.1
B2GJQ1	BAG29832.1
B2ISQ5	ACB89592.1
Q1CT72	ABF84850.1
P95837	AAB47523.1
P95837	ABB57770.1
Q8Y5M2	CAD00113.1
Q9HLR7	CAC11305.1
Q9CH70	AAK04966.1
A0L5N1	ABK43274.1
B2I9B5	ACB93370.1
B0K3H3	ABY93284.1
Q2W0H3	BAE52652.1
A3Q1M1	ABN99048.1
C1CBB5	ACO17405.1
B1MI19	CAM60841.1
C3LIA3	ACP17563.1
C5C246	ACQ81671.1
A9R2Z6	ABX87745.1
Q216E1	ABD87745.1
Q31CY4	ABB49261.1
Q6AE64	AAT89332.1
Q9KRV8	AAF94680.1
Q5L1E5	BAD75235.1
Q3AAE9	ABB14857.1
Q87C37	AAO29108.1
P40778	AAC00294.1
P40778	CAB14957.1
P40778	AAB40043.1
A4T7H0	ABP44133.1
Q9AKP2	CAC33606.1
B8HWY0	ACL43283.1
A8HZ95	BAF90554.1
Q6D0I0	CAG76717.1
A8EZ14	ABV73597.1
P0A9H1	AAA89148.1
P0A9H1	AAC76104.1
P0A9H1	BAE77119.1
Q5WB82	BAD66378.1
P33986	AAA21618.1
B7GK78	ACJ32835.1
A1R0I9	AAX18080.1
Q6NFK1	CAE50416.1
Q2S528	ABC46252.1
Q9I342	AAG05072.1
Q814T6	AAP12197.1
Q03QK0	ABJ64522.1
B1LG28	ACB19590.1
Q8R9G7	AAM24846.1
P0DC45	BAC64447.1
A9MPK2	ABX22645.1
Q9PNQ2	CAL35157.1
A6LUQ7	ABR34087.1
P65471	AAG54395.1
P65471	BAB33518.1
B2S1A8	AAX17262.1
Q7UG04	CAD78525.1
A5VKY3	ABQ83507.1
Q493Q1	AAZ40786.1
C0Q5S0	ACN44412.1
Q8CPL6	AAO04434.1
C0M6J2	CAW92919.1
Q6AJ54	CAG37626.1
A2RJC8	CAL97380.1
B5BL87	CAR58320.1
Q891U1	AAO36754.1
Q8XBJ2	AAG57546.1
Q8XBJ2	BAB36722.1
A1VST5	ABM38713.1
Q5H0X8	AAW75393.1
B2K630	ACC87896.1
Q0I1D3	ABI24636.1
Q049E9	ABJ58923.1
Q1B6X2	ABG09362.1
Q9ZLL4	AAD06136.1
A4TMY1	ABP40643.1
Q2P3W6	BAE68761.1
Q8R5N5	AAL95650.1
Q4QLF7	AAX88140.1
A8G1T3	ABV39056.1
Q12EL4	ABE43028.1
B5QTT8	CAR34133.1
Q82VS5	CAD84900.1
A9W480	ABY30386.1
Q02Z11	ABJ72811.1
A4VZT9	ABP91628.1
Q6D0I4	CAG76713.1
Q6MEP6	CAF22953.1
B7LFW0	CAU95974.1
B2A2H0	ACB84885.1
A9KSS3	ABX40717.1
Q08783	AAA16761.1
Q08783	AAC36914.1
Q0AYQ8	ABI68146.1
Q2IYL0	ABD06700.1
A2BY07	ABM72668.1
B1KN02	ACA88959.1
Q47QX1	AAZ55146.1
Q9L4V5	AAF72713.1
Q0T095	ABF05270.1
Q50774	CAA59002.1
Q50774	ADL59120.1
B2JDU4	ACC69720.1
Q92PG8	CAC46368.1
Q0BPD5	ABI63317.1
B2J718	ACC79226.1
Q49176	AAA72198.1
A8MH34	ABW18921.1
A9VFE0	ABY45034.1
Q1R3U0	ABE09974.1
Q8RDQ1	AAL95651.1
A9R1S6	ABX85341.1
P9WHH2	AAK47247.1
Q88LM5	AAN67523.1
Q45305	AAA57244.1
C6A3T5	ACS90280.1
Q1CE02	ABG19778.1
Q1CE02	EEO74328.1
B2SJY7	ACD60504.1
A4J678	ABO50581.1
B8FT58	ACL22074.1
A2C0L8	ABM75028.1
A7Z3X6	ABS73702.1
Q2KUU2	CAJ50615.1
Q5FUJ7	AAW59949.1
B3ET95	ACE06447.1
Q8ZRU7	AAL19087.1
Q5WDV0	BAD65460.1
Q2FEX4	ABD20823.1
B9KA57	ACM23840.1
Q8XVI2	CAD16556.1
Q81JG5	AAP27775.1
Q81JG5	AAT33166.2
Q81JG5	AAT56063.1
A0L909	ABK44452.1
A1WUJ7	ABM61359.1
B0K8S2	ABY94535.1
Q0BPT9	ABI63163.1
B5FB35	ACH66140.1
B7MMH6	CAR06048.1
Q3Z997	AAW40221.1
Q4K4C2	AAY95043.1
B2ILU3	ACB89649.1
B7UP73	CAS08697.1
C6E6Z4	ACT19772.1
Q9CLY7	AAK03146.1
Q97BK5	BAB59592.1
P08455	CAA30038.1
P08455	CAA36888.1
P08455	AAA17019.1
B9KQ55	ACM00562.1
C5D7U5	ACS23726.1
E8MF12	BAF73925.1
E8MF12	BAJ67289.1
Q7U453	CAE08734.1
Q87BR7	AAO29228.1
Q1CMM6	ABG16754.1
Q1CMM6	EEO78210.1
Q9ZJ81	AAD07009.1
O51589	AAC66999.1
A9BCP8	ABX09610.1
B4SX95	ACF64633.1
Q8UGB6	AAK86926.1
Q52462	AAA16133.2
B0BZU2	ABW27152.1
B7IIT9	ACK94232.1
B0R6L8	CAP14387.1
Q8XHP8	BAB82140.1
C1D6U5	ACO74202.1
C0R4K8	ACN95850.1
A8GNH0	ABV74945.1
Q8FEY7	AAN81587.1
Q4KBJ2	AAY92555.1
B7NKH2	CAR18180.1
B5F7J9	ACH49022.1
Q8EEU0	AAN55314.1
B1LAU0	ACB09438.1
A0KXK3	ABK48522.1
Q8FSH1	BAC17232.1
A1WGS0	ABM56827.1
A7FG95	ABS46079.1
Q2JIJ7	ABD03557.1
Q5PLF2	AAV79028.1
A4QB40	BAF53437.1
Q929Z0	CAC97363.1
P65779	AAK75210.1
B7NKT4	CAR19828.1
B7ULM3	CAS08175.1
Q0T6S6	ABF02900.1
A0KIG3	ABK39009.1
Q3K1G0	ABA45626.1
Q31DD7	ABB49108.1
A8GB41	ABV40331.1
Q66BP2	CAH20968.1
B0USF1	ACA32377.1
Q0SP13	ABH01415.1
Q0SP13	AEL69382.1
B7MBY4	CAR04825.1
C5BL09	ACR14005.1
Q3K3Z4	ABA46255.1
Q73AY0	AAS40571.1
B1XXL7	ACB35137.1
Q886Z4	AAO54951.1
Q8Z7N0	AAO69412.1
Q8Z7N0	CAD08255.1
B5XNL1	ACI11693.1
C3MRJ9	ACP36012.1
A1BEN4	ABL64861.1
B9MRX9	ACM60433.1
A9NEX8	ABX80908.1
Q7A1D4	BAB94676.1
B2US28	ACD47660.1
Q466D4	AAZ72258.1
B0BZ27	ABW28327.1
Q31CN9	ABB49356.1
A5I664	ABS38070.1
A5I664	CAL84546.1
Q8G5G8	AAN24850.1
Q02Z86	ABJ72736.1
B3QLU8	ACF12434.1
Q0AQB0	ABI65527.1
Q1C537	ABG14435.1
A4G2M4	CAL60761.1
B1LUB9	ACB22499.1
C3MZM4	ACP55856.1
Q75UV1	BAD18071.1
B5FGW1	ACH65259.1
I3R9M8	CAF21907.1
I3R9M8	AFK20938.1
I3R9M8	EMA05272.1
A2C127	ABM75187.1
Q8ZXL4	AAL63333.1
A4XAF6	ABP55905.1
A9HC14	CAP54884.1
A9HC14	ACI50866.1
A1KWA2	CAM11159.1
Q21AR4	ABD86522.1
P75389	AAB96092.1
C1D9G3	ACO75065.1
B7JZ00	ACK66077.1
P75216	AAB95928.1
Q5WX01	CAH15538.1
B5QX27	CAR32287.1
A9MJZ6	ABX20555.1
Q2JN25	ABD01852.1
Q9KLR4	AAF96578.1
O28439	AAB89414.1
Q5JFX9	BAD84485.1
A1R783	ABM08249.1
B5R233	CAR33826.1
Q3M9K8	ABA22328.1
B2IYC1	ACC84720.1
P9WJK0	AAK45898.1
Q44482	AAA93018.1
Q44482	ABA23844.1
A9NFP5	ABX81175.1
P38033	AAA21613.1
P38033	CAB14748.1
Q8XNE2	BAB80101.1
B7IYI5	ACK95938.1
Q44290	CAA68174.1
Q44290	BAB73364.1
Q2FH57	ABD21491.1
Q9V0M0	CAB49683.1
Q9V0M0	CCE70165.1
Q88ZA0	CCC77954.1
Q8ZAQ8	CAL22320.1
Q8ZAQ8	AAM84086.1
Q8ZAQ8	AAS63266.1
Q6GB05	CAG42566.1
Q5SIM2	BAD71170.1
P94127	CAA64426.1
P94127	CAA75425.1
P94127	AAD09157.1
P39605	CAA51599.1
P39605	CAB15837.1
P77873	CAA90932.1
P77873	AAB63038.1
O07642	AAB61283.1
O07642	AAW56989.1
O07642	ACB49911.1
A5CSB9	CAN01983.1
P26252	AAA88521.1
P26252	BAF87039.1
A9A432	ABX12216.1
B8D509	ACL11190.1
P54799	CAA39552.1
A9MHD1	ABX23314.1
P68737	CAD09476.1
P68737	AAO70979.1
Q605A0	AAU91571.1
B9KJP6	ACM01343.1
A5UFX2	ABQ99677.1
Q9RFV7	AAF15415.1
Q9RFV7	ABU72219.1
Q2FEA5	ABD22301.1
Q9HZL0	AAG06383.1
P9WF11	CCP46255.1
Q75R63	BAD14949.1
A1KSH5	CAM09805.1
Q4QP24	AAX87223.1
P29916	AAA03038.1
Q53514	AAB34510.1
B7UZT8	CAW26791.1
Q66E03	CAH20130.1
B7VKD2	CAV17687.1
B7LB19	CAV01377.1
Q1R3J6	ABE10068.1
Q8XXY9	CAD15676.1
B7M8Y8	CAQ97912.1
C4ZQD2	ACR63859.1
P0A8G6	AAA24759.1
P0A8G6	AAC74089.1
P0A8G6	BAA35771.1
O31824	CAB13703.1
A5CF69	CAM80957.1
A8GG95	ABV42135.1
B3Q7N3	ACF01799.1
Q8XCW9	AAG57415.1
Q8XCW9	BAB36593.1
Q2A1F1	CAJ80268.1
B5XNV6	ACI09648.1
Q668I3	CAH21995.1
A6TBW2	ABR78083.1
A5W190	ABQ77900.1
Q0IBR4	ABI47828.1
B5Z8Q8	ACI27957.1
B2SEV0	ACD30195.1
Q72GD8	AAS82252.1
Q4FM88	AAZ21701.1
B0TWP5	ABZ87153.1
Q8NXI6	BAB94634.1
A8A796	ABV08400.1
Q1QDI9	ABE74264.1
Q5PJV0	AAV79061.1
Q4FM84	AAZ21705.1
Q0SY04	ABF06061.1
Q5HB21	CAH58239.1
Q5HB21	CAI27029.1
B7IFS5	ACJ74939.1
Q31HS1	ABB41302.1
B5Z8Q6	ACI27955.1
Q5PN59	AAV76544.1
A5FXK0	ABQ30332.1
Q5GSR1	AAW70963.1
B9MRU6	ACM60400.1
B0JH94	BAG02246.1
A3MX10	ABO09177.1
Q8KX56	AAN03537.1
Q8KX56	ACB00524.1
Q1BCI0	ABG07404.1
Q9Z9F9	AAD18175.1
Q9Z9F9	AAF38557.1
Q9Z9F9	BAA98234.1
Q9Z9F9	AAP97959.1
Q3AWJ7	ABB26723.1
Q5FS71	AAW60775.1
C4LJL1	ACR18016.1
Q1D912	ABF91552.1
Q9K575	CAB93580.1
Q9K575	CAL98876.1
B3E609	ACD94733.1
Q9FA52	AAG10643.1
Q9FA52	ABA79302.1
P0C0D0	AAK34337.2
P0C0D0	AAZ51891.1
B7M089	CAR00145.1
A5CSJ2	CAN02058.1
Q03YT6	ABJ61636.1
Q2A1B4	CAJ80313.1
Q8FTN1	BAC18340.1
Q65ZZ3	AAU07628.1
Q01327	CAA46082.1
Q01327	CAA71828.1
Q01327	CAA71829.1
Q01327	CAA71830.1
Q01327	CAA71831.1
Q1CBZ4	ABG12028.1
A1IPH6	CAM07645.1
A2C050	ABM74860.1
Q6GKC1	CAG39213.1
A4SVA3	ABP33417.1
B8D9H2	ACL30743.1
P95758	BAA13501.1
B1JVA1	ACA89731.1
B3DPS4	ACD99063.1
B0TUI2	ABZ75482.1
Q5HQK4	AAW53916.1
A9WK62	ABY34513.1
Q57B45	AAX75139.1
B1X0M2	ACB51311.1
B1H0I4	BAG14016.1
Q2JJ90	ABD03291.1
Q73LW4	AAS12263.1
B9DSH7	CAR42557.1
Q4L6Y9	BAE04586.1
A5FP49	ABQ16594.1
P9WIS6	AAK46557.1
A9AI60	ABX16484.1
A9AI60	BAG42404.1
Q24SP0	BAE84952.1
Q8D2C5	BAC24575.1
A1K5N0	CAL94135.1
Q5LPS9	AAV96011.1
Q8YB10	AAL54333.1
Q8G3G3	AAN25580.1
O07006	AAC46254.1
O07006	CAB08020.1
O07006	CAB15445.1
B2GIN9	BAG29732.1
Q8PQA7	AAM35312.1
Q9I6Z0	AAG03532.1
Q729A6	AAS96918.1
C3P5Q9	ACQ46855.1
A4WEQ6	ABP62186.1
Q2RM60	ABC18479.1
Q7NL65	BAC89202.1
A6L3Y2	ABR40396.1
A5UKW7	ABQ86845.1
P54541	BAA12610.1
P54541	CAB14323.2
Q9V0V3	CAB49600.1
Q9V0V3	CCE70076.1
A4JBS4	ABO53727.1
A5VNS0	ABQ61123.1
Q8XWT3	CAD16094.1
A5W974	ABQ80684.1
B7V1E2	CAW29869.1
Q5HWH3	AAW34932.1
A6T4T0	ABR75601.1
A4QAA6	BAF53153.1
Q7VIU7	AAP77104.1
Q48N86	AAZ35951.1
A4SWJ8	ABP33862.1
B5YZH1	ACI38236.1
Q8P9T0	AAM41058.1
C1D7E9	ACO74389.1
Q040L6	ABJ61106.1
B8GVL8	ACL95188.1
A7NG79	ABU56466.1
Q12F41	ABE42851.1
Q9PIK2	CAL34448.1
B8I364	ACL76207.1
A9KEG7	ABS78153.2
C1KWK1	CAS05676.1
B8GNA7	ACL71968.1
B1KUY5	ACA53866.1
A5IQ73	ABQ48346.1
Q32FD7	ABB61968.1
P9WIL0	AAK46962.1
B0KAS0	ABY95204.1
Q71YQ8	AAT04556.1
Q6HP96	AAT61282.1
A1RU92	ABL88524.1
P65658	BAB58760.1
B2SJL9	ACD58803.1
P65677	BAB43788.1
Q8ENE4	BAC14495.1
B1M6N5	ACB25126.1
P75995	AAC74252.2
P75995	BAA36000.2
A1TG34	ABM16134.1
Q2KE66	ABC88870.1
A6WHA1	ABS06190.1
Q8Y603	CAC99978.1
Q73RB6	AAS10672.1
Q8ZD86	CAL21322.1
Q8ZD86	AAM84854.1
Q8ZD86	AAS62705.1
B3Q999	ACE98923.1
Q3BUL5	CAJ23494.1
B0U1Q3	ACA11231.1
Q3J5W4	ABA77820.1
C3PCC6	ACQ45957.1
P99128	BAB42877.1
B0UWS7	ACA32020.1
A4XSC7	ABP84243.1
C1DFK0	ACO80396.1
Q9I5G5	AAG04162.1
C3K4J5	CAY46546.1
Q8KAD1	AAM73448.1
A8GYT2	ABV85469.1
P54125	AAC43684.1
P54125	AAB96282.1
O29742	AAB90722.1
Q8KN33	AAM96671.1
Q04707	CAA48073.1
Q04707	CAA48072.1
Q04707	AAK74536.1
Q9HK30	CAC11909.1
B1JKY2	ACA69839.1
B1LFY8	ACB19621.1
P40191	AAC44166.1
P40191	AAC75471.1
P40191	BAA16292.1
A1S1X0	ABL98376.1
Q87LP2	BAC60832.1
C3PM29	ACP52989.1
Q7NHE8	BAC90530.1
A5I6G4	ABS36996.1
A5I6G4	CAL84646.1
Q8DB36	AAO10387.1
B7L4H5	CAU95939.1
A4QHQ4	BAF55770.1
B3QM53	ACF11006.1
Q2GFU3	ABD45194.1
Q8ED71	AAN55911.1
A6VXM3	ABR71202.1
A4Y882	ABP76165.1
Q8DEZ4	AAO08954.2
Q4ZVE7	AAY36875.1
P60797	BAB56681.1
Q12K60	ABE56166.1
Q038S5	ABJ70297.1
P19624	AAA24305.1
P19624	AAC73163.1
P19624	BAB96619.1
Q3YZC3	AAZ89139.1
Q73I41	AAS14071.1
Q6A948	AAT82718.1
Q0HGZ0	ABI39677.1
A4F7G2	CAL99986.1
B5FR78	ACH77840.1
Q0VSU8	CAL15750.1
P58711	BAB76454.1
A4G255	CAL60592.1
B1XFV0	ACB02844.1
A7X2W0	BAF78433.1
Q3BQS3	CAJ24890.1
B1HTI4	ACA41188.1
P05459	AAA24308.1
P05459	AAB36530.1
P05459	AAC75380.1
P05459	BAA16177.1
P05459	CAA26520.1
P05459	AAA24310.1
P9WIH2	AAK44442.1
Q1C676	ABG14046.1
C0Q7V5	ACN44625.1
Q18KL6	CAJ51430.1
P9WGL4	AAK47658.1
Q7MP85	BAC93243.1
D1AFM9	ACZ07914.1
A2BLL6	ABM80877.1
Q929R9	CAC97434.1
Q8K9B3	AAM67978.1
A5F051	ABQ18775.1
A5F051	ACP11543.1
O67417	AAC07372.1
Q9RC88	BAA83911.1
Q9RC88	BAB04523.1
Q8FE90	AAN81896.1
Q8TT93	AAM03988.1
P0A799	CAA32604.1
P0A799	AAA69093.1
P0A799	AAC75963.1
P0A799	BAE76990.1
B3E9Q7	ACD95333.1
D0ZV89	ACY87894.1
B7GQU7	ACJ52177.1
B7GQU7	BAJ68699.1
Q07GY2	ABJ08802.1
B9EAG8	BAH17229.1
Q88D64	AAN70530.1
P61884	CAA51930.1
A8G2K1	ABV49832.1
P9WMZ3	CCP44965.1
P43335	AAA25937.1
P43335	AAG04260.1
O07147	CAB09632.1
O07147	CAC29960.1
Q4UJZ1	AAY62148.1
Q97WM6	AAK42360.1
Q1R7F8	ABE08706.1
Q8NRX4	BAB98310.1
P61733	AAS04940.1
Q6N140	CAE30009.1
Q59332	AAB68401.1
A6VAA4	ABR84800.1
Q8ZWV0	AAL63599.1
Q5W263	CAH55637.1
Q99ZD0	AAK34131.1
Q99ZD0	AAZ51607.1
Q5W271	CAH55629.1
Q2YK44	CAJ13002.1
Q9CEU2	AAK05840.1
Q13LC4	ABE35115.1
Q93LR4	AAK57729.1
P65696	CAD46589.1
Q829W2	BAC74008.1
I3R9Z3	ACB10369.1
I3R9Z3	AFK21053.1
I3R9Z3	EMA05162.1
P0AD42	CAA51063.1
P0AD42	BAA10910.1
P0AD42	AAA79822.1
P0AD42	AAC75613.2
P0AD42	BAE76736.1
A0QNG1	ABK74027.1
A0QNG1	AFP36514.1
P0A442	CAB43713.1
P0A442	CAC99485.1
B4T049	ACF61522.1
Q8NZG3	AAL98442.1
Q52728	AAB05020.1
Q52728	ABC90666.1
A6TGB8	ABR79602.1
Q8DGP7	BAC09820.1
Q6KHX0	AAT27806.1
Q6GB57	CAG42514.1
B6JMT1	ACJ08209.1
Q184M8	CAJ69934.1
Q89S87	BAC47783.1
A3QAX8	ABO22626.1
B5XIF1	ACI61813.1
A7ZAB2	ABS75938.1
Q9A5K1	AAK24417.1
Q8NX32	BAB94935.1
Q89ZI8	AAO79494.1
A1ST53	ABM02668.1
Q1JEW6	ABF34793.1
Q7NGM0	BAC91090.1
Q39DI4	ABB09482.1
Q2KDT0	ABC89006.1
B8GWZ0	ACL93500.1
Q0P903	CAL35368.1
A8EYU2	ABV73525.1
C0QHM6	ACN13584.1
B7LAY9	CAV01325.1
A5IMM8	ABQ47451.1
A7H515	ABS43983.1
A3CMQ7	ABN44462.1
Q9ALA2	AAK00588.1
P9WHV8	AAK47391.1
B7JJU0	ACK88823.1
Q03JH1	ABJ66651.1
Q6MU19	CAE76867.1
Q9UYZ4	CAB50268.1
Q9UYZ4	CCE70806.1
Q8EUR3	BAC44649.1
P0AFL4	AAN82576.1
Q57962	AAB98534.1
Q5XAP6	AAT87517.1
Q5FL41	AAV42583.1
P59749	BAC76463.1
Q6GAX2	CAG42599.1
Q0T7J7	ABF02629.1
P0C040	AAN41986.1
P0C040	AAP15864.1
B2I0I3	ACC57108.1
A5VP16	ABQ61762.1
B0RQ25	CAP50560.1
Q896G3	AAO35627.1
P0C039	AAG54737.1
P0C039	BAB33864.1
A6SW89	ABR90311.1
Q9Z4P6	CAB38126.1
Q9Z4P6	CBH22353.1
B7JN37	ACK89570.1
Q1BNU0	ABF78715.1
Q884R6	AAO55540.1
B2K6R0	ACC87934.1
B2UBA2	ACD27951.1
Q0TKP9	ABG68482.1
A4SJL7	ABO89089.1
A5GQ77	CAK27036.1
Q21KC3	ABD80856.1
B7N8U3	CAR11644.1
C3MRE5	ACP35958.1
Q2JWZ0	ABC98710.1
A4XYL1	ABP86427.1
Q47AC9	AAZ48202.1
Q0ID48	ABI47329.1
A2C555	ABM76615.1
A2BP21	ABM69532.1
A2BP21	ABM70536.1
A0Q562	ABK89377.1
Q7VNA7	AAP95574.1
A7FQ59	ABS33916.1
A1AUE4	ABL00965.1
A6VD70	ABR86729.1
Q2GG56	ABD44643.1
C3KW94	ACQ51889.1
Q9HVL9	AAG07953.1
B7KFK8	ACK73333.1
A5I7R3	ABS37373.1
A5I7R3	CAL85098.1
A6W970	ABS03359.1
B5Y342	ACI09352.1
Q7MYS6	CAE16969.1
C1FNE4	ACO86103.1
Q04KZ2	ABJ54450.1
Q02VE3	AAA03532.1
Q02VE3	ABJ74079.1
Q02VE3	AAA25209.1
B4RJK0	ACF29004.1
C7LYP7	ACU53855.1
A2RD38	CAM29763.1
Q3B038	ABB25289.1
Q3B038	ABB25636.1
B7GYV2	ACJ57838.1
Q2JN71	ABD01804.1
O27270	AAB85691.1
Q639W8	AAU17549.1
Q6F6W3	CAG70202.1
B3DPS5	ACD99064.1
D3Q556	ADD44105.1
Q8G4T9	AAN25086.1
Q97N08	AAK78018.1
A9IRR6	CAK01214.1
A9M881	ABX62879.1
Q088J8	ABI70317.1
Q9RXR2	AAF09827.1
Q92NN5	CAC46734.1
A6Q3B4	BAF69973.1
A2CAS7	ABM78587.1
A0RQL1	ABK82421.1
B7NK82	CAR16547.1
O84027	AAC67614.1
Q8DX85	AAN00829.1
A7X2X9	BAF78448.1
Q3JNI0	ABA51083.1
Q1C4E6	ABG14676.1
A8EXZ0	ABV73223.1
Q7UTK9	CAD73427.1
Q32DK7	ABB62599.1
Q2IMG0	ABC79989.1
A5GPT7	CAK24952.1
P72157	AAB17257.1
P72157	AAG08811.1
A9VTC9	ABY44885.1
Q4L945	BAE03830.1
