level1	level2	level3	function	ERR599063	ERR599115	ERR599105	ERR3589586	ERR599052	ERR598981	ERR599048	ERR3589593	ERR598964	ERR599020	ERR599125	ERR598963	ERR598989	ERR599076	ERR599176
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L27e, RPL27; large subunit ribosomal protein L27e"	0	2	6	0	3	0	0	7	0	6	0	23	8	0	0
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L28, rpmB; large subunit ribosomal protein L28"	1335	526	685	1	1276	792	674	734	572	820	470	976	1368	0	1600
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L28e, RPL28; large subunit ribosomal protein L28e"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L29, rpmC; large subunit ribosomal protein L29"	460	242	370	2	493	327	429	363	285	332	206	321	468	0	638
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L29e, RPL29; large subunit ribosomal protein L29e"	0	0	0	0	0	0	0	1	0	1	1	5	2	0	1
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L3, rplC; large subunit ribosomal protein L3"	3821	2851	2215	148	3516	2759	2816	2736	2966	2897	2166	3090	3809	10	3993
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L30, rpmD; large subunit ribosomal protein L30"	272	563	141	0	286	336	372	482	458	386	355	263	234	0	423
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L30e, RPL30; large subunit ribosomal protein L30e"	1	9	7	0	2	29	11	128	17	10	8	32	3	0	7
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L31, rpmE; large subunit ribosomal protein L31"	1861	811	1055	0	1587	1026	1093	859	928	1065	592	1277	1746	1	1212
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L31e, RPL31; large subunit ribosomal protein L31e"	0	0	5	0	5	0	7	2	0	9	8	26	13	0	12
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L32, rpmF; large subunit ribosomal protein L32"	843	216	485	4	900	284	440	328	263	424	199	470	988	2	780
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L32e, RPL32; large subunit ribosomal protein L32e"	13	596	13	0	5	141	184	279	525	319	209	124	23	0	9
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L33, rpmG; large subunit ribosomal protein L33"	904	457	571	24	807	527	592	632	471	648	390	714	858	1	847
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L34, rpmH; large subunit ribosomal protein L34"	284	197	186	0	300	180	215	223	129	178	122	213	354	0	420
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L34e, RPL34; large subunit ribosomal protein L34e"	1	0	6	0	5	0	3	1	2	0	0	12	4	0	3
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L35, rpmI; large subunit ribosomal protein L35"	933	351	511	0	882	575	575	511	426	649	340	710	969	0	957
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L35Ae, RPL35A; large subunit ribosomal protein L35Ae"	1	1	4	0	2	0	5	0	0	1	1	32	0	0	6
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L35e, RPL35; large subunit ribosomal protein L35e"	1	1	4	0	7	0	2	1	1	1	2	37	6	0	10
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L36, rpmJ; large subunit ribosomal protein L36"	316	167	143	7	310	275	203	198	194	227	123	208	336	0	351
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L36e, RPL36; large subunit ribosomal protein L36e"	0	2	8	0	2	0	1	5	0	5	3	14	0	0	1
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L37Ae, RPL37A; large subunit ribosomal protein L37Ae"	0	56	3	0	2	31	28	83	39	27	41	46	1	0	6
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L37e, RPL37; large subunit ribosomal protein L37e"	0	3	1	0	4	0	1	2	3	2	10	10	6	0	8
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L38e, RPL38; large subunit ribosomal protein L38e"	0	0	4	0	2	0	1	0	0	4	0	17	11	0	6
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L39e, RPL39; large subunit ribosomal protein L39e"	8	91	8	0	14	17	46	27	60	65	49	48	16	0	9
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L3e, RPL3; large subunit ribosomal protein L3e"	12	8	49	0	29	2	23	22	16	25	9	178	38	0	37
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L4, rplD; large subunit ribosomal protein L4"	2341	945	1435	1	2427	1179	1517	1296	880	1469	835	1599	2444	0	3076
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L40e, RPL40; large subunit ribosomal protein L40e"	33	51	42	0	43	25	48	48	43	38	44	61	44	0	34
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L41e, RPL41; large subunit ribosomal protein L41e"	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L44e, RPL44; large subunit ribosomal protein L44e"	13	170	21	0	11	84	75	180	236	114	89	107	32	0	0
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L4e, RPL4; large subunit ribosomal protein L4e"	11	517	24	0	23	157	183	340	408	281	220	175	22	0	22
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L5, rplE; large subunit ribosomal protein L5"	4210	2579	2348	1	3638	2978	2655	2836	2799	3089	2099	3075	3907	0	3805
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L5e, RPL5; large subunit ribosomal protein L5e"	4	0	25	0	19	1	11	10	17	11	3	86	9	0	26
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L6, rplF; large subunit ribosomal protein L6"	4054	2110	2519	6	3400	2488	2644	2372	2100	2717	1616	2864	3886	14	3915
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L6e, RPL6; large subunit ribosomal protein L6e"	2	4	10	0	9	0	11	1	3	8	6	31	3	0	14
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L7, rplL; large subunit ribosomal protein L7/L12"	2654	1522	1502	0	2473	2132	1792	1700	1737	2074	1384	2100	2673	0	2397
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L7Ae, RPL7A; large subunit ribosomal protein L7Ae"	9	778	43	0	21	276	275	372	741	362	244	242	40	0	13
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L7e, RPL7; large subunit ribosomal protein L7e"	2	2	24	5	9	0	15	8	8	7	6	49	22	0	21
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L8e, RPL8; large subunit ribosomal protein L8e"	14	4	31	0	10	6	7	17	8	13	7	69	5	0	30
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L9, rplI; large subunit ribosomal protein L9"	1805	547	1136	21	1640	782	1120	820	633	1022	516	1113	1832	4	1707
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-L9e, RPL9; large subunit ribosomal protein L9e"	0	0	9	0	3	5	2	0	0	8	1	33	5	0	6
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-LP0, RPLP0; large subunit ribosomal protein LP0"	3	0	11	0	10	0	2	2	0	5	6	54	5	0	1
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-LP1, RPLP1; large subunit ribosomal protein LP1"	0	0	5	0	0	0	0	2	0	0	0	9	1	0	0
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-LP2, RPLP2; large subunit ribosomal protein LP2"	2	1	3	0	3	0	0	2	0	1	3	4	1	0	0
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S10, rpsJ; small subunit ribosomal protein S10"	2398	1687	1207	0	2056	1709	1558	1468	1743	1796	1194	1820	2239	1	1753
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S10e, RPS10; small subunit ribosomal protein S10e"	4	0	8	0	3	0	6	1	0	2	4	36	12	0	7
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S11, rpsK; small subunit ribosomal protein S11"	2411	1865	1404	2	2376	1826	1698	1739	1936	1972	1408	2121	2410	11	2365
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S11e, RPS11; small subunit ribosomal protein S11e"	2	2	17	0	8	0	19	14	2	3	0	50	22	0	11
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S12, rpsL; small subunit ribosomal protein S12"	2442	2518	1423	43	2450	2220	1985	2085	2704	2386	1621	2533	2623	53	2192
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S12e, RPS12; small subunit ribosomal protein S12e"	5	0	3	0	6	0	9	3	0	4	1	18	3	0	5
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S13, rpsM; small subunit ribosomal protein S13"	1998	1595	1149	1	1924	1726	1513	1425	1836	1769	1152	1574	2020	9	1829
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S13e, RPS13; small subunit ribosomal protein S13e"	14	2	13	0	19	2	14	10	1	7	7	65	14	0	16
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S14, rpsN; small subunit ribosomal protein S14"	1302	491	720	3	1233	629	705	625	482	685	464	880	1175	0	1323
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S14e, RPS14; small subunit ribosomal protein S14e"	3	3	9	0	8	0	3	13	10	10	5	33	3	0	19
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S15, rpsO; small subunit ribosomal protein S15"	1549	1050	856	0	1401	1014	1067	1127	1102	1167	834	1218	1458	0	1184
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S15Ae, RPS15A; small subunit ribosomal protein S15Ae"	8	3	23	0	11	2	7	7	5	5	8	50	13	0	12
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S15e, RPS15; small subunit ribosomal protein S15e"	2	2	6	0	14	1	8	1	2	9	1	56	12	0	22
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S16, rpsP; small subunit ribosomal protein S16"	1904	761	1001	0	2089	924	1063	975	845	1200	626	1451	1924	1	2133
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S16e, RPS16; small subunit ribosomal protein S16e"	6	4	21	0	8	1	3	12	6	3	1	41	6	0	10
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S17, rpsQ; small subunit ribosomal protein S17"	1568	780	844	8	1381	1007	920	1035	876	951	685	1048	1408	0	1343
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S17e, RPS17; small subunit ribosomal protein S17e"	3	20	9	0	22	19	15	99	13	30	13	70	17	0	11
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S18, rpsR; small subunit ribosomal protein S18"	1050	452	622	6	1050	645	663	625	538	654	480	846	1033	4	1227
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S18e, RPS18; small subunit ribosomal protein S18e"	2	1	19	0	7	3	1	0	8	6	1	45	17	0	6
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S19, rpsS; small subunit ribosomal protein S19"	2295	1797	1306	11	1928	1570	1728	1569	1772	1786	1266	1637	2344	3	1901
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S19e, RPS19; small subunit ribosomal protein S19e"	0	600	8	0	6	165	204	341	527	300	247	121	8	0	2
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S2, rpsB; small subunit ribosomal protein S2"	5375	3528	3334	37	5026	3909	3649	3803	3989	4161	2911	4438	5396	36	5956
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S20, rpsT; small subunit ribosomal protein S20"	698	254	436	0	762	348	409	437	201	407	219	410	670	0	1249
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S20e, RPS20; small subunit ribosomal protein S20e"	0	3	6	0	2	2	9	14	9	17	5	38	6	0	11
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S21, rpsU; small subunit ribosomal protein S21"	1059	468	532	0	901	592	486	558	407	642	338	648	865	5	1098
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S21e, RPS21; small subunit ribosomal protein S21e"	0	0	4	0	2	0	0	2	0	2	0	9	7	0	0
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S23e, RPS23; small subunit ribosomal protein S23e"	2	14	16	0	11	29	24	22	11	22	13	87	7	0	18
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S24e, RPS24; small subunit ribosomal protein S24e"	1	3	8	0	8	0	2	1	0	5	0	9	5	0	10
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S25e, RPS25; small subunit ribosomal protein S25e"	0	19	5	0	6	9	2	97	17	0	20	20	4	0	4
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S26e, RPS26; small subunit ribosomal protein S26e"	6	281	8	0	8	56	107	135	237	156	85	67	13	0	13
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S27Ae, RPS27A; small subunit ribosomal protein S27Ae"	44	200	91	0	87	42	87	102	107	121	101	194	82	0	62
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S27e, RPS27; small subunit ribosomal protein S27e"	0	23	2	0	6	10	4	58	13	12	14	21	7	0	2
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S28e, RPS28; small subunit ribosomal protein S28e"	4	305	20	0	19	122	130	214	302	190	121	134	18	0	8
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S29e, RPS29; small subunit ribosomal protein S29e"	0	0	2	0	1	1	1	0	0	2	0	6	1	0	1
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S2e, RPS2; small subunit ribosomal protein S2e"	5	6	18	0	6	0	17	18	2	11	3	69	15	1	12
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S3, rpsC; small subunit ribosomal protein S3"	5154	3544	2692	9	4461	3491	3284	3321	3622	3639	2427	3687	4906	5	4425
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S30e, RPS30; small subunit ribosomal protein S30e"	0	103	2	0	4	26	43	103	80	64	41	18	3	0	2
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae"	15	536	18	0	11	169	181	307	527	290	192	159	12	0	15
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S3e, RPS3; small subunit ribosomal protein S3e"	2	2	25	0	26	0	8	11	0	18	4	53	23	0	16
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S4, rpsD; small subunit ribosomal protein S4"	4492	2709	2797	28	3802	2774	2778	2697	2711	2883	1831	3044	4399	7	4034
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S4e, RPS4; small subunit ribosomal protein S4e"	12	323	27	0	36	128	102	373	361	192	173	132	29	0	27
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S5, rpsE; small subunit ribosomal protein S5"	4190	3303	2327	3	3843	2882	2655	2905	3388	3322	2239	3189	3910	7	3678
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S5e, RPS5; small subunit ribosomal protein S5e"	5	4	24	0	11	0	8	15	0	9	8	93	31	0	31
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S6, rpsF; small subunit ribosomal protein S6"	1378	392	1246	8	1148	597	1025	688	400	693	379	680	1233	0	1739
Environmental Information Processing	Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	"RP-S6e, RPS6; small subunit ribosomal protein S6e"	2	392	23	0	17	101	174	237	366	177	149	114	7	0	8
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S7, rpsG; small subunit ribosomal protein S7"	3513	3244	1918	5	3195	2878	2426	2786	3305	3022	2252	2682	3481	12	3524
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S7e, RPS7; small subunit ribosomal protein S7e"	5	0	4	0	10	0	0	7	2	1	0	35	6	0	5
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S8, rpsH; small subunit ribosomal protein S8"	2043	1419	1429	0	2061	1270	1505	1487	1384	1512	1037	1541	2036	3	2037
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S8e, RPS8; small subunit ribosomal protein S8e"	26	372	33	0	30	156	141	232	362	218	187	144	39	0	19
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S9, rpsI; small subunit ribosomal protein S9"	2421	2095	1405	0	2154	2071	1698	1805	1938	1994	1358	1717	2330	5	2508
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-S9e, RPS9; small subunit ribosomal protein S9e"	11	1	13	0	13	1	8	10	0	8	10	59	13	0	11
Genetic Information Processing	Translation	03010 Ribosome [PATH:ko03010]	"RP-SAe, RPS0; small subunit ribosomal protein SAe"	8	1	22	0	11	2	4	16	8	12	16	45	18	0	24
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]"	27	10	45	0	48	5	32	23	9	22	17	202	35	0	53
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPA12, ZNRD1; DNA-directed RNA polymerase I subunit RPA12"	5	1	0	0	2	0	2	1	0	3	0	6	0	0	1
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]"	26	14	49	0	48	2	39	58	46	22	21	152	46	0	22
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	RPA34; DNA-directed RNA polymerase I subunit RPA34	0	0	1	0	0	1	0	3	0	1	1	2	0	0	1
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	RPA43; DNA-directed RNA polymerase I subunit RPA43	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPA49, POLR1E; DNA-directed RNA polymerase I subunit RPA49"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]"	371	254	569	5	857	89	332	339	135	262	148	788	645	4	135
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB10, POLR2L; DNA-directed RNA polymerases I, II, and III subunit RPABC5"	4	5	5	0	9	0	3	3	1	5	3	15	16	0	5
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB11, POLR2J; DNA-directed RNA polymerase II subunit RPB11"	0	0	0	0	0	0	0	0	0	4	0	10	1	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB12, POLR2K; DNA-directed RNA polymerases I, II, and III subunit RPABC4"	0	0	3	0	3	0	1	0	0	0	0	1	1	0	4
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]"	516	282	654	0	1079	118	406	434	151	328	195	869	871	0	207
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB3, POLR2C; DNA-directed RNA polymerase II subunit RPB3"	0	1	1	0	3	6	8	13	8	7	0	15	2	0	8
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB4, POLR2D; DNA-directed RNA polymerase II subunit RPB4"	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB5, POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1"	0	0	16	0	13	0	2	3	0	4	0	57	0	0	21
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB6, POLR2F; DNA-directed RNA polymerases I, II, and III subunit RPABC2"	6	236	25	0	3	78	65	165	198	135	78	50	6	0	12
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB7, POLR2G; DNA-directed RNA polymerase II subunit RPB7"	0	0	8	0	3	0	0	6	0	2	0	23	2	0	3
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3"	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPB9, POLR2I; DNA-directed RNA polymerase II subunit RPB9"	0	0	2	0	0	0	0	0	0	2	0	5	2	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]"	47	37	103	0	167	20	58	70	24	81	32	352	100	0	113
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPC11, POLR3K; DNA-directed RNA polymerase III subunit RPC10"	0	0	0	0	1	1	0	5	1	3	0	14	0	0	5
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2"	1	0	2	0	1	0	2	3	0	9	0	7	2	0	6
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]"	76	69	143	0	177	12	75	49	32	87	34	318	176	0	74
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPC25, POLR3H; DNA-directed RNA polymerase III subunit RPC8"	0	0	0	0	2	0	0	0	0	0	0	12	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPC31, POLR3G; DNA-directed RNA polymerase III subunit RPC7"	0	3	0	0	0	0	0	4	1	1	0	1	2	0	2
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPC34, POLR3F; DNA-directed RNA polymerase III subunit RPC6"	3	0	2	0	4	0	2	1	1	2	8	29	2	0	1
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1"	7	2	7	0	6	0	5	6	4	5	2	43	6	0	14
Organismal Systems	Environmental adaptation	04626 Plant-pathogen interaction [PATH:ko04626]	"RPM1, RPS3; disease resistance protein RPM1"	4	0	22	0	0	0	0	0	0	0	0	0	5	0	0
Genetic Information Processing	Translation	03008 Ribosome biogenesis in eukaryotes [PATH:ko03008]	"RPP1, RPP30; ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Genetic Information Processing	Translation	03013 RNA transport [PATH:ko03013]	"RPR2, RPP21; ribonuclease P protein subunit RPR2 [EC:3.1.26.5]"	0	12	0	0	0	2	9	4	14	4	4	0	0	0	0
Cellular Processes	Cell growth and death	04114 Oocyte meiosis [PATH:ko04114]	"RPS6KA, RSK2; p90 ribosomal S6 kinase [EC:2.7.11.1]"	1	3	27	0	5	1	12	5	5	9	5	15	7	0	17
Environmental Information Processing	Signal transduction	04012 ErbB signaling pathway [PATH:ko04012]	RPS6KB; p70 ribosomal S6 kinase [EC:2.7.11.1]	2	7	20	0	10	3	8	4	8	5	5	28	8	0	8
Cellular Processes	Cell communication	04530 Tight junction [PATH:ko04530]	"RRAS2, TC21; Ras-related protein R-Ras2"	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0
Genetic Information Processing	"Folding, sorting and degradation"	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	RRBP1; ribosome-binding protein 1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Metabolism	Metabolism of other amino acids	00480 Glutathione metabolism [PATH:ko00480]	RRM1; ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]	3116	1057	1877	6	3334	832	1295	1532	863	1788	787	3010	3372	4	1019
Cellular Processes	Cell growth and death	04115 p53 signaling pathway [PATH:ko04115]	RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]	1128	427	899	1	1495	252	525	547	214	657	303	1185	1233	1	1382
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"RRP4, EXOSC2; exosome complex component RRP4"	2	200	9	0	2	134	60	365	211	102	120	105	1	0	8
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"RRP40, EXOSC3; exosome complex component RRP40"	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"RRP41, EXOSC4, SKI6; exosome complex component RRP41"	30	1536	42	0	14	507	532	773	1452	764	582	408	46	0	2
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"RRP42, EXOSC7; exosome complex component RRP42"	8	1104	13	0	8	284	315	517	914	453	419	226	14	0	2
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"RRP43, EXOSC8, OIP2; exosome complex component RRP43"	0	0	7	0	0	0	2	2	3	1	3	4	0	0	0
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"RRP45, EXOSC9; exosome complex component RRP45"	0	0	0	0	1	1	1	1	1	2	2	10	3	0	2
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"RRP46, EXOSC5; exosome complex component RRP46"	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"RRP6, EXOSC10; exosome complex exonuclease RRP6 [EC:3.1.13.-]"	0	0	18	0	7	0	2	7	3	5	4	32	8	0	16
Metabolism	Glycan biosynthesis and metabolism	00514 Other types of O-glycan biosynthesis [PATH:ko00514]	"RUMI, KTELC1; protein glucosyltransferase [EC:2.4.1.-]"	0	0	3	0	0	0	3	0	0	0	2	4	0	0	1
Environmental Information Processing	Signal transduction	04310 Wnt signaling pathway [PATH:ko04310]	"RUVBL1, RVB1, INO80H; RuvB-like protein 1 (pontin 52)"	13	1	83	0	39	4	33	27	11	30	13	161	53	0	55
Environmental Information Processing	Signal transduction	04020 Calcium signaling pathway [PATH:ko04020]	RYR1; ryanodine receptor 1	7	2	15	0	2	1	6	4	2	9	12	9	5	0	11
